Financial Access Assignment Tool Kit,,,AOC FIN- Technical,,FIN - Business Analyst - P,FIN - Business Analyst - L,FIN - Law Table Maint,FIN - PMT,FIN - Court Clerk (this role is not needed for FIN),FIN - Court Administrator,FIN - Accountant,FIN - Cashier,FIN - Court IT User,FIN - Judicial Officer,FIN - Probation,,AOC Helpdesk Staff - P,AOC Helpdesk Staff - L,AOC FIN - Integration Manager,AOC FIN - Security Admin,AOC Education Staff - P,AOC Education Staff - L,AOC QA (Ask Saint) - P,AOC QA (Ask Saint) - L,AOC FIN - Report Developer,,,,,,,,,,,,,,,,,,,,
Odyssey 2022.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,Right Name,Access,,FIN - READ ONLY,,,,,,,,,,,,FIN - TVB,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Mgmt,Add Appellate Fee Payment to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Appellate Fee Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Check Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Check Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Civil Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Civil Fee Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Criminal Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Criminal Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Family Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Family Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Inmate Account Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Inmate Account Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Miscellaneous Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Probate Fee Payments to Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add Probate Payments to general Draw-Down Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Authorize Open Cash Drawer Transaction,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Authorize Unbalanced Till,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Close Deposits,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Close Tills,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Export Deposits,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
