Financial Manager Access Assignment Tool Kit,,,AOC OFM - Technical,,OFM - Business Analyst - P,OFM - Business Analyst - L,OFM - Court Clerk (this role is not need for OFM),OFM - Court Administrator,OFM - Accountant,OFM - Cashier,OFM - Court IT User,OFM - TVB,AOC Helpdesk Staff - P,AOC Helpdesk Staff - L,AOC OFM - Integration Manager,AOC OFM - Security Admin,AOC Education Staff - P,AOC Education Staff - L,AOC QA (Ask Saint) - P,AOC QA (Ask Saint) - L,AOC FIN - Report Developer,,,,,,,,,,,,,,,,,,,,,,,
Odyssey 2022.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,Right Name,Access,,OFM - READ ONLY,,,,,,,,,,,,,,,,,,,,,,Booking Offcer,Bond Clerk,Deputy,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Reconciliation,Reconcile an Account,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Transactions,Back Date a Check,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back Date a Deposit,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back Date a Payment,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back Date an Adjustment,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Configure Back/Future Dates,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter a Hand Check,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter Adjustment Transactions,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter Deposit Transactions,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter Payment Transactions,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Future Date a Check,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Check Printing Format,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Transaction Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overdraw an Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Print an Individual Check,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Print any Checks from the Queue,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Print My Checks from the Queue,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reverse an Electronic Check,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reverse an Electronic Deposit,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reverse Any Transaction Except User's Own,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reverse My Transaction,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Submit a Check to be Printed,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Submit to MN Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,View Check Processing Queue,,,,x,x,,,x,,,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Void an Electronic Check,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Void an Electronic Deposit,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Void Any Transactions Except User's Own,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,Void My Transactions,,,,,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forms,Manage Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
