"User","Location","Role","Effective","Obsolete","Right Type (Tab)","Right Group (Description)","Right Action","RightID","Access"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Codes","Maintain Appellate Opinion Additional Recipients Setup","","8373","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Codes","Maintain Opinion Results","","8266","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Codes","Maintain Opinion Statuses","","8267","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Codes","Maintain Opinion Types","","8265","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Codes","Maintain Opinion Votes","","8268","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Codes","Maintain the Panel Configuration Tool Page","","8283","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Judicial Officer Assignment","Add","8315","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Judicial Officer Assignment","Modify","8328","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Judicial Officer Assignment","Delete","8327","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinion Votes","View","8337","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinion Votes","Add","8334","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinion Votes","Modify","8336","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinion Votes","Delete","8335","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinions","View","8263","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinions","Add","8260","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinions","Modify","8262","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","Opinions","Delete","8261","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Appellate Data","View Appellate Tab","","8259","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitration Statuses","","8180","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitration Types","","8565","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitrator Billing Types","","8178","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitrator Preferences","","8179","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitrator Removal Reasons","","8181","Not Granted"
